Local time,MH-Satara Wind Speed Average,MH-Active Power  Active Power Average,Power curve For 350 kW Turbine,Wind Speed (m/s),Power in kW,kWh,,Wind Speed (m/s),Power (kW)
1/1/15 0:10,4.3,36.9,8.8,0.00,0.0,1.47,,11,247
1/1/15 0:20,5,65.5,20,0.10,0.0,3.34,,,
1/1/15 0:30,5.3,83.8,26.6,0.20,0.0,4.44,,0.167,
1/1/15 0:40,4.6,50.3,13.6,0.30,0.0,2.27,,,
1/1/15 0:50,5.3,92,26.6,0.40,0.0,4.44,,,
1/1/15 1:00,5.6,124.5,33.2,0.50,0.0,5.54,,,
1/1/15 1:10,6.1,142,45.1,0.60,0.0,7.53,,,
1/1/15 1:20,5.8,129.4,37.6,0.70,0.0,6.28,,,
1/1/15 1:30,5.4,90.4,28.8,0.80,0.0,4.81,,,
1/1/15 1:40,5.1,73.3,22.2,0.90,0.0,3.71,,,
1/1/15 1:50,5.1,115.8,22.2,1.00,0.0,3.71,,,
1/1/15 2:00,5.8,156.7,37.6,1.10,0.0,6.28,,,
1/1/15 2:10,5.8,106.2,37.6,1.20,0.0,6.28,,,
1/1/15 2:20,4.9,50.6,18.4,1.30,0.0,3.07,,,
1/1/15 2:30,5.3,92.4,26.6,1.40,0.0,4.44,,,
1/1/15 2:40,4.9,61.3,18.4,1.50,0.0,3.07,,,
1/1/15 2:50,5.3,71.6,26.6,1.60,0.0,4.44,,,
1/1/15 3:00,4.8,60.7,16.8,1.70,0.0,2.81,,,
1/1/15 3:10,4.3,42.2,8.8,1.80,0.0,1.47,,,
1/1/15 3:20,3.6,4.1,2.5,1.90,0.0,0.42,,,
1/1/15 3:30,2.9,0,0,2.00,0.0,0.00,,,
1/1/15 3:40,1.7,0,0,2.10,0.0,0.00,,,
1/1/15 3:50,2.9,0,0,2.20,0.0,0.00,,,
1/1/15 4:00,2.4,0,0,2.30,0.0,0.00,,,
1/1/15 4:10,1.7,0,0,2.40,0.0,0.00,,,
1/1/15 4:20,2.6,0,0,2.50,0.0,0.00,,,
1/1/15 4:30,3.8,-1,3.1,2.60,0.0,0.52,,,
1/1/15 4:40,4.1,-3.6,5.6,2.70,0.0,0.94,,,
1/1/15 4:50,4,-3.3,4,2.80,0.0,0.67,,,
1/1/15 5:00,4.3,2.4,8.8,2.90,0.0,1.47,,,
1/1/15 5:10,4,27.9,4,3.00,1.0,0.67,,,
1/1/15 5:20,4.3,37.2,8.8,3.10,1.3,1.47,,,
1/1/15 5:30,3,0.4,1,3.20,1.6,0.17,,,
1/1/15 5:40,3,-0.1,1,3.30,1.9,0.17,,,
1/1/15 5:50,2.8,-0.2,0,3.40,2.2,0.00,,,
1/1/15 6:00,3,0,1,3.50,2.5,0.17,,,
1/1/15 6:10,2.7,0,0,3.60,2.8,0.00,,,
1/1/15 6:20,2.4,0,0,3.70,3.1,0.00,,,
1/1/15 6:30,2.4,0,0,3.80,3.4,0.00,,,
1/1/15 6:40,3,0,1,3.90,3.7,0.17,,,
1/1/15 6:50,3.1,0,1.3,4.00,4.0,0.22,,,
1/1/15 7:00,2.6,0,0,4.10,5.6,0.00,,,
